"Cancer","Target_Gene","Target_Feature_ID","Sample_ID","Patient_ID","Expression_Assay","Expression_Log2_Transformed","Target_Expression_Value","Median_Cutoff","Median_Group_For_GSEA_Heatmap"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-3831-01A","TCGA-AA-3831","tpm",TRUE,"5.011731701494484","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-CM-6169-01A","TCGA-CM-6169","tpm",TRUE,"4.683393493285328","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-F4-6808-01A","TCGA-F4-6808","tpm",TRUE,"3.794683665403810","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-NH-A50V-01A","TCGA-NH-A50V","tpm",TRUE,"3.929784753110730","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-3713-01A","TCGA-AA-3713","tpm",TRUE,"5.730098929810464","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-A010-01A","TCGA-AA-A010","tpm",TRUE,"3.745381601617365","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-CM-6168-01A","TCGA-CM-6168","tpm",TRUE,"4.518476746256130","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-D5-6929-01A","TCGA-D5-6929","tpm",TRUE,"3.854093000817508","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-5M-AAT4-01A","TCGA-5M-AAT4","tpm",TRUE,"3.168346743020817","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-A6-6651-01A","TCGA-A6-6651","tpm",TRUE,"3.931668910479319","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-3538-01A","TCGA-AA-3538","tpm",TRUE,"3.840269681826247","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-G4-6307-01A","TCGA-G4-6307","tpm",TRUE,"3.172848498343281","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-CK-4950-01A","TCGA-CK-4950","tpm",TRUE,"5.183939483251832","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-DM-A28M-01A","TCGA-DM-A28M","tpm",TRUE,"6.041763819455445","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-CM-5868-01A","TCGA-CM-5868","tpm",TRUE,"4.106588216730698","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-T9-A92H-01A","TCGA-T9-A92H","tpm",TRUE,"5.014569755680723","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-3685-01A","TCGA-AA-3685","tpm",TRUE,"4.562606006771184","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-CM-4752-01A","TCGA-CM-4752","tpm",TRUE,"3.043333587407321","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-DM-A28K-01A","TCGA-DM-A28K","tpm",TRUE,"4.283515494620591","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-A6-3810-01A","TCGA-A6-3810","tpm",TRUE,"2.400013762427260","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-3861-01A","TCGA-AA-3861","tpm",TRUE,"4.427955812511208","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-A6-A565-01A","TCGA-A6-A565","tpm",TRUE,"4.765256032464369","4.167970022842355","High"
